id,created,modified,description,amount,is_active
1,2019-05-16 15:36:38+02,2011-05-16 15:36:38+02,edit file,100.00,t
2,2015-05-16 15:36:38+02,2011-05-16 15:36:38+02,edit file,500.00,t
4,2017-05-16 15:36:38+02,2011-05-16 15:36:38+02,edit file,100.00,t
5,2015-05-16 15:36:38+02,2011-05-20 15:36:38+02,edit file,50.00,t
8,2019-05-16 15:36:38+02,2011-05-16 15:36:38+02,edit file,200.00,t
9,2019-05-16 15:36:28+02,2011-05-16 15:36:38+02,edit file,200.00,t
11,2011-12-16 13:36:38+02,2011-05-16 15:36:38+02,edit file,100.00,t
12,2011-11-16 15:36:38+02,2011-05-16 15:36:38+02,edit file,100.00,t
13,2011-05-17 15:50:38+02,2011-05-16 15:36:38+02,edit file,800.00,t
17,2015-05-16 15:36:38+02,2011-05-16 15:36:38+02,edit file,600.00,t
19,2011-05-16 20:40:38+02,2011-05-16 15:36:38+02,edit file,200.00,t
20,2012-05-16 15:36:38+02,2011-05-16 15:36:38+02,edit file,100.00,t
