id,created,modified,description,amount,is_active
1,2011-05-16 15:36:38+02,2011-05-16 15:36:38+02,edit file,100.00,t
1,2011-05-16 15:36:38+02,2011-05-16 15:36:38+02,edit file,100.00,t
1,2019-05-16 15:36:38+02,2011-05-16 15:36:38+02,edit file,100.00,t
1,2015-05-16 15:36:38+02,2011-05-16 15:36:38+02,edit file,100.00,t
1,2019-05-16 15:36:38+02,2011-05-16 15:36:38+02,edit file,100.00,f
1,2017-05-16 15:36:38+02,2011-05-16 15:36:38+02,edit file,100.00,t
1,2015-05-16 15:36:38+02,2011-05-16 15:36:38+02,edit file,100.00,t
1,2016-05-16 15:36:38+02,2011-05-16 15:36:38+02,edit file,100.00,f
1,2015-05-16 15:36:38+02,2011-05-16 15:36:38+02,edit file,100.00,f
1,2019-05-16 15:36:38+02,2011-05-16 15:36:38+02,edit file,100.00,t
1,2019-05-16 15:36:28+02,2011-05-16 15:36:38+02,edit file,100.00,t
1,2011-05-17 20:36:38+02,2011-05-16 15:36:38+02,edit file,100.00,f
1,2011-12-16 13:36:38+02,2011-05-16 15:36:38+02,edit file,100.00,t
1,2011-11-16 15:36:38+02,2011-05-16 15:36:38+02,edit file,100.00,t
1,2011-05-17 15:50:38+02,2011-05-16 15:36:38+02,edit file,100.00,t
1,2012-05-16 15:50:38+02,2011-05-16 15:36:38+02,edit file,100.00,f
1,2000-05-28 15:36:38+02,2011-05-16 15:36:38+02,edit file,100.00,f
1,2015-05-26 15:36:38+02,2011-05-16 15:36:38+02,edit file,100.00,f
1,2015-05-16 15:36:38+02,2011-05-16 15:36:38+02,edit file,100.00,t
1,2013-05-16 18:36:38+02,2011-05-16 15:36:38+02,edit file,100.00,f
1,2011-05-16 20:40:38+02,2011-05-16 15:36:38+02,edit file,100.00,t
1,2012-05-16 15:36:38+02,2011-05-16 15:36:38+02,edit file,100.00,t
